"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2026-01-22","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","679358.06","17681","AdSupportedLinear"
"2026-01-22","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","235328.08","6221","AdSupportedLinear"
"2026-01-23","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","713282.00","19431","AdSupportedLinear"
"2026-01-23","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","894929.69","16998","AdSupportedLinear"
"2026-01-23","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","262388.72","7940","AdSupportedLinear"
"2026-01-23","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","502313.62","15555","AdSupportedLinear"
"2026-01-23","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","194896.25","6344","AdSupportedLinear"
"2026-01-24","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","749847.62","22741","AdSupportedLinear"
"2026-01-24","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","920973.44","19819","AdSupportedLinear"
"2026-01-24","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","327471.88","14701","AdSupportedLinear"
"2026-01-24","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","485807.62","16241","AdSupportedLinear"
"2026-01-24","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","202763.41","6994","AdSupportedLinear"
"2026-01-25","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","465163.97","20146","AdSupportedLinear"
"2026-01-25","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","907627.81","22322","AdSupportedLinear"
"2026-01-25","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","283690.34","15817","AdSupportedLinear"
"2026-01-25","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","575585.00","19326","AdSupportedLinear"
"2026-01-25","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","165261.34","6533","AdSupportedLinear"
"2026-01-26","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","567067.56","17428","AdSupportedLinear"
"2026-01-26","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","998810.88","21875","AdSupportedLinear"
"2026-01-26","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","332170.50","15223","AdSupportedLinear"
"2026-01-26","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","708886.31","20120","AdSupportedLinear"
